Date,State Name,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-05,Uttarakhand,Cluster beans,45,52 - 57,54 - 74,1kg,N/A
2024-05-05,Uttarakhand,Coconut,38,44 - 48,46 - 63,1kg,N/A
2024-05-05,Uttarakhand,Colocasia Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-05,Uttarakhand,Colocasia,28,32 - 36,34 - 46,1kg,N/A
2024-05-05,Uttarakhand,Coriander Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-05,Uttarakhand,Corn,25,29 - 32,30 - 41,1kg,N/A
2024-05-05,Uttarakhand,Cucumber,24,28 - 30,29 - 40,1kg,N/A
2024-05-05,Uttarakhand,Curry Leaves,30,35 - 38,36 - 50,1kg,N/A
2024-05-05,Uttarakhand,Dill Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-05,Uttarakhand,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-05,Uttarakhand,Brinjal,22,25 - 28,26 - 36,1kg,N/A
2024-05-05,Uttarakhand,Brinjal (Big),24,28 - 30,29 - 40,1kg,N/A
2024-05-05,Uttarakhand,Elephant Yam,30,35 - 38,36 - 50,1kg,N/A
2024-05-05,Uttarakhand,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-05,Uttarakhand,French Beans,47,54 - 60,56 - 78,1kg,N/A
2024-05-05,Uttarakhand,Garlic,170,196 - 216,204 - 281,1kg,N/A
2024-05-05,Uttarakhand,Ginger,107,123 - 136,128 - 177,1kg,N/A
2024-05-05,Uttarakhand,Onion Green,39,45 - 50,47 - 64,1kg,N/A
2024-05-05,Uttarakhand,Green Peas,46,53 - 58,55 - 76,1kg,N/A
2024-05-05,Uttarakhand,Ivy Gourd,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Uttarakhand,Lemon (Lime),65,75 - 83,78 - 107,1kg,N/A
2024-05-05,Uttarakhand,Mango Raw,30,35 - 38,36 - 50,1kg,N/A
2024-05-05,Uttarakhand,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-05,Uttarakhand,Mushroom,91,105 - 116,109 - 150,1kg,N/A
2024-05-05,Uttarakhand,Mustard Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-05,Uttarakhand,Ladies Finger,39,45 - 50,47 - 64,1kg,N/A
2024-05-05,Uttarakhand,Pumpkin,22,25 - 28,26 - 36,1kg,N/A
2024-05-05,Uttarakhand,Radish,26,30 - 33,31 - 43,1kg,N/A
2024-05-05,Uttarakhand,Ridge Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-05,Uttarakhand,Shallot (Pearl Onion),35,40 - 44,42 - 58,1kg,N/A
2024-05-05,Uttarakhand,Snake Gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-05,Uttarakhand,Sorrel Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-05,Uttarakhand,Spinach,13,15 - 17,16 - 21,1kg,N/A
2024-05-05,Uttarakhand,Sweet Potato,36,41 - 46,43 - 59,1kg,N/A
2024-05-06,Uttarakhand,Onion Big,25,29 - 32,30 - 41,1kg,N/A
2024-05-06,Uttarakhand,Onion Small,34,39 - 43,41 - 56,1kg,N/A
2024-05-06,Uttarakhand,Tomato,24,28 - 30,29 - 40,1kg,N/A
2024-05-06,Uttarakhand,Green Chilli,42,48 - 53,50 - 69,1kg,N/A
2024-05-06,Uttarakhand,Beetroot,38,44 - 48,46 - 63,1kg,N/A
2024-05-06,Uttarakhand,Potato,31,36 - 39,37 - 51,1kg,N/A
2024-05-06,Uttarakhand,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,N/A
2024-05-06,Uttarakhand,Amaranth Leaves,13,15 - 17,16 - 21,1kg,N/A
2024-05-06,Uttarakhand,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-06,Uttarakhand,Ash gourd,21,24 - 27,25 - 35,1kg,N/A
2024-05-06,Uttarakhand,Baby Corn,52,60 - 66,62 - 86,1kg,N/A
2024-05-06,Uttarakhand,Banana Flower,17,20 - 22,20 - 28,1kg,N/A
2024-05-06,Uttarakhand,Capsicum,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,Uttarakhand,Bitter Gourd,33,38 - 42,40 - 54,1kg,N/A
2024-05-06,Uttarakhand,Bottle Gourd,25,29 - 32,30 - 41,1kg,N/A
2024-05-06,Uttarakhand,Butter Beans,48,55 - 61,58 - 79,1kg,N/A
2024-05-06,Uttarakhand,Broad Beans,26,30 - 33,31 - 43,1kg,N/A
2024-05-06,Uttarakhand,Cabbage,18,21 - 23,22 - 30,1kg,N/A
2024-05-06,Uttarakhand,Carrot,44,51 - 56,53 - 73,1kg,N/A
2024-05-06,Uttarakhand,Cauliflower,28,32 - 36,34 - 46,1kg,N/A
2024-05-06,Uttarakhand,Cluster beans,45,52 - 57,54 - 74,1kg,N/A
2024-05-06,Uttarakhand,Coconut,38,44 - 48,46 - 63,1kg,N/A
2024-05-06,Uttarakhand,Colocasia Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-06,Uttarakhand,Colocasia,28,32 - 36,34 - 46,1kg,N/A
2024-05-06,Uttarakhand,Coriander Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-06,Uttarakhand,Corn,25,29 - 32,30 - 41,1kg,N/A
2024-05-06,Uttarakhand,Cucumber,24,28 - 30,29 - 40,1kg,N/A
2024-05-06,Uttarakhand,Curry Leaves,30,35 - 38,36 - 50,1kg,N/A
2024-05-06,Uttarakhand,Dill Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-06,Uttarakhand,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,Uttarakhand,Brinjal,22,25 - 28,26 - 36,1kg,N/A
2024-05-06,Uttarakhand,Brinjal (Big),24,28 - 30,29 - 40,1kg,N/A
2024-05-06,Uttarakhand,Elephant Yam,30,35 - 38,36 - 50,1kg,N/A
2024-05-06,Uttarakhand,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-06,Uttarakhand,French Beans,47,54 - 60,56 - 78,1kg,N/A
2024-05-06,Uttarakhand,Garlic,170,196 - 216,204 - 281,1kg,N/A
2024-05-06,Uttarakhand,Ginger,107,123 - 136,128 - 177,1kg,N/A
2024-05-06,Uttarakhand,Onion Green,39,45 - 50,47 - 64,1kg,N/A
2024-05-06,Uttarakhand,Green Peas,46,53 - 58,55 - 76,1kg,N/A
2024-05-06,Uttarakhand,Ivy Gourd,27,31 - 34,32 - 45,1kg,N/A
